Row Labels,Max of BLK,Max of G,Average of FG,Count of Year
Kyle Macy,11,82,310.7142857,7
Kyle O'Quinn,104,79,150,5
Kyle Singler,38,82,144,7
Kyle Weaver,25,56,44.66666667,3
Kyle Wiltjer,1,14,4,1
Kyrie Irving,25,75,501.5,6
Kyrylo Fesenko,19,53,25,5
LaBradford Smith,9,69,121.8,5
Lamar Green,38,80,129.6666667,6
Lamar Odom,122,82,343.6428571,14
Lamar Patterson,2,35,15.5,2
LaMarcus Aldridge,94,81,559.7272727,11
LaMark Baker,0,1,0,1
Lamond Murray,55,81,285.1818182,11
Lamont Strothers,1,9,12,2
Lanard Copeland,1,23,19,2
Lancaster Gordon,13,70,118,4
Lance Allred,0,3,1,1
Lance Blanks,5,61,38.66666667,3
Lance Stephenson,16,78,127.75,12
Lance Thomas,8,62,92.75,8
Landry Fields,17,82,136.8,5
Langston Galloway,22,82,169.8,5
LaPhonso Ellis,111,82,263.1818182,11
Lari Ketner,3,22,6.5,4
Laron Profit,11,42,43.25,4
Larry Bird*,98,82,660.8461538,13
Larry Cannon,4,19,49,1
Larry Comley,,12,8,1
Larry Costello,,78,257.9166667,12
Larry Demic,30,82,132.3333333,3
Larry Drew,10,81,302.5454545,11
Larry Fogle,0,2,1,1
Larry Foust,,72,317.8333333,12
Larry Friend,,44,74,1
Larry Hennessy,,53,70.5,2
Larry Hughes,29,82,231.5714286,21
Larry Johnson,51,82,400.3636364,11
Larry Jones,18,72,155,2
Larry Kenon,60,81,368.3,10
Larry Krystkowiak,13,80,143.7777778,9
Larry McNeill,32,82,112.4,10
Larry Micheaux,21,57,57.75,4
Larry Mikan,,53,62,1
Larry Moffett,2,20,5,1
Larry Nance,243,82,423.8235294,17
Larry Owens,5,12,8.5,4
Larry Robinson,2,36,25.63636364,11
Larry Sanders,201,71,111.5,6
Larry Siegfried,,79,199.2727273,11
Larry Smith,63,82,193.7692308,13
Larry Spriggs,13,75,68.2,5
Larry Staverman,,66,71.5,8
Larry Steele,32,81,224.4444444,9
Larry Stewart,44,81,153,5
Larry Sykes,0,1,0,1
Larry Wright,18,78,198.3333333,6
Lars Hansen,1,15,29,1
LaRue Martin,49,81,147.75,4
LaSalle Thompson,145,82,187.1052632,19
Latrell Sprewell,76,82,467.3846154,13
Lavor Postell,2,26,19.66666667,3
Lavoy Allen,55,79,120.25,8
Lawrence Boston,2,13,24,1
Lawrence Funderburke,23,75,116,7
Lawrence Moten,24,67,95.33333333,3
Lawrence Roberts,13,54,57,2
Lazar Hayward,7,42,23.33333333,3
Lazaro Borrell,3,17,28,1
Leandro Barbosa,18,82,229.625,16
LeBron James,93,81,744.5,14
Ledell Eackles,10,80,258.5714286,7
Lee Johnson,5,12,4.666666667,3
Lee Knorek,,1,0,1
Lee Mayberry,10,82,135.7142857,7
Lee Nailon,17,79,140.8888889,9
Lee Shaffer,,80,442.6666667,3
Lee Winfield,30,81,170.1428571,7
Len Chappell,,80,188,17
Len Elmore,92,81,116.125,8
Len Kosmalski,6,67,20.5,2
Lennie Rosenbluth,,53,67,2
Lenny Wilkens*,17,82,412.6,15
Leo Barnhorst,,72,271.2,5
Leo Katkaveck,,54,101,1
Leo Klier,,66,157,1
Leo Kubiak,,62,259,1
Leo Mogus,,64,107.5,2
Leo Rautins,2,28,10.5,2
Leon Benbow,11,76,127,2
Leon Blevins,,2,1,1
Leon Douglas,81,82,198,7
Leon Powe,38,70,78.42857143,7
Leon Smith,1,14,5.5,2
Leon Wood,3,76,91.8,10
Leonard Gray,36,83,257.6,5
Leonard Taylor,0,10,0,1
LeRon Ellis,25,50,36.66666667,3
Leroy Chollet,,49,33.5,2
Leroy Combs,18,48,81,1
Leroy Ellis,87,82,285.25,16
Les Hunter,,24,18,1
Les Jepsen,5,31,10,2
Les Pugh,,56,68,1
Lester Conner,13,82,123.9285714,14
Lester Hudson,3,25,22.25,8
Levi Fontaine,,35,53,1
Lew Hitch,,74,108.75,8
Lewis Brown,0,2,0,1
Lewis Lloyd,44,82,244.6666667,9
Linas Kleiza,19,82,181.1428571,7
Lindsay Hairston,32,47,104,1
Lindsey Hunter,24,82,174.7058824,17
Linton Johnson,32,54,26.08333333,12
Linton Townes,5,55,22.6,5
Lionel Chalmers,0,36,42,1
Lionel Hollins,38,82,284.4166667,12
Lionel Simmons,132,79,320.2857143,7
Litterial Green,4,52,28.8,5
Lloyd Daniels,30,77,74.33333333,9
Lloyd Neal,107,82,283,7
Lloyd Walton,13,76,119.8,5
Logan Vander,0,15,3,1
Lonnie Shelton,112,82,341.6,10
Lonny Baxter,29,62,43.88888889,9
Loren Meyer,32,72,73.6,5
Loren Woods,39,60,34.66666667,6
Lorenzen Wright,87,80,170.8,15
Lorenzo Brown,6,29,28.66666667,3
Lorenzo Charles,6,36,49,1
Lorenzo Romar,13,82,98.22222222,9
Lorenzo Williams,148,82,31.07692308,13
Lou Amundson,73,79,42.68421053,19
Lou Hudson,29,82,568.6153846,13
Lou Roe,8,49,23,2
Lou Tsioropoulos,,70,112.3333333,3
Lou Williams,19,81,259.1428571,14
Louie Dampier*,15,82,230.6666667,3
Louie Nelson,7,72,129.1428571,7
Louis Orr,27,82,265.625,8
Lowes Moore,17,71,104,3
Loy Petersen,,38,38.5,2
Loy Vaught,40,82,241.6153846,13
Luc Longley,84,76,158.6666667,12
Luc Mbah,45,82,145.0909091,11
Lucas Nogueira,90,57,44.33333333,3
Lucious Harris,16,79,182.8333333,12
Lucius Allen,29,81,366.25,12
Luigi Datome,7,34,30,4
Luis Flores,0,16,9.333333333,3
Luis Montero,0,12,5,1
Luis Scola,44,82,366.9,10
Luke Babbitt,11,68,79.85714286,7
Luke Harangody,17,49,45.25,4
Luke Jackson,2,82,150.5,14
Luke Ridnour,23,82,218.5,14
Luke Schenscher,4,20,11.5,2
Luke Walton,21,74,89.5,12
Luke Witte,22,57,49.66666667,3
Luke Zeller,0,16,9,1
Luol Deng,61,82,362.7333333,15
Luther Green,,5,0,1
Luther Head,9,80,135,8
Luther Rackley,4,74,88.57142857,7
Luther Wright,2,15,8,1
Lynn Greer,1,41,61,1
M.L. Carr,58,82,258.8888889,9
Maalik Wayns,0,27,13.25,4
Mac Otten,,59,34,3
Maceo Baston,18,47,26.5,4
Maciej Lampe,7,37,20.71428571,7
Mack Calvin,5,77,100,7
Magic Johnson*,49,80,477.7692308,13
Mahmoud Abdul-Rauf,10,81,390.4444444,9
Major Jones,67,82,113,6
Makhtar N'Diaye,1,4,1,1
Mal Graham,,48,65,2
Mal McMullen,,58,100.5,2
Malachi Richardson,1,22,28,1
Malcolm Brogdon,12,75,290,1
Malcolm Delaney,1,73,145,1
Malcolm Lee,6,19,17.33333333,3
Malcolm Mackey,3,22,14,1
Malcolm Thomas,3,17,5.25,8
Malik Allen,78,80,91.42857143,14
Malik Beasley,0,22,33,1
Malik Hairston,9,47,32,2
Malik Rose,52,82,119.7058824,17
Malik Sealy,45,82,233.125,8
Mamadou N'Diaye,32,28,16,7
Manny Harris,7,54,49.75,4
Manny Leaks,39,82,228,2
Manu Ginobili,33,80,292.2,15
Manute Bol,397,82,51.46153846,13
Marc Gasol,139,82,400.4444444,9
Marc Iavaroni,55,81,106.4545455,11
Marc Jackson,30,81,129.8181818,11
Marcelo Huertas,7,53,61,2
Marcin Gortat,121,82,279.1666667,12
Marco Belinelli,9,80,220.4,10
Marcus Banks,13,81,76.21428571,14
Marcus Brown,2,21,16,2
Marcus Camby,285,79,196.8095238,21
Marcus Cousin,1,4,2,1
Marcus Fizer,24,76,183.8333333,6
Marcus Georges-Hunt,0,5,2,1
Marcus Haislip,18,39,31.25,4
Marcus Landry,2,18,10.66666667,3
Marcus Liberty,29,78,137.1666667,6
Marcus Morris,25,82,238.75,8
Marcus Smart,34,79,209.3333333,3
Marcus Thornton,12,73,192.625,16
Marcus Vinicius,1,13,8,2
Marcus Webb,2,9,13,1
Marcus Williams,3,79,54.875,8
Mardy Collins,10,52,66.83333333,6
Mario Bennett,11,45,27.75,4
Mario Chalmers,16,82,195,10
Mario Elie,20,82,169.3846154,13
Mario Hezonja,17,79,149,2
Mario Kasun,13,45,39,2
Mario West,4,64,14,4
Mark Acres,27,80,67.5,8
Mark Aguirre,57,81,519.1333333,15
Mark Alarie,39,82,207.4,5
Mark Blount,106,82,195.6153846,13
Mark Bradtke,5,36,25,1
Mark Bryant,31,80,96.88888889,18
Mark Crow,1,15,35,1
Mark Davis,31,75,71.375,8
Mark Eaton,456,82,188.3636364,11
Mark Hendrickson,9,48,23.16666667,6
Mark Jackson,16,83,253.6190476,21
Mark Jones,2,10,6,2
Mark Landsberger,22,80,141.4444444,9
Mark Macon,14,76,95.375,8
Mark Madsen,19,72,42.33333333,9
Mark McNamara,12,70,40.2,10
Mark Minor,,4,1,1
Mark Olberding,31,82,256.7272727,11
Mark Pope,26,63,19.33333333,6
Mark Price,12,80,328.25,12
Mark Radford,4,54,69,2
Mark Randall,3,54,29.5,8
Mark Sibley,1,28,20,1
Mark Strickland,34,58,64.2,10
Mark Wade,1,11,1.5,2
Mark West,187,83,140.4761905,21
Mark Workman,,65,71.25,4
Markel Brown,15,62,101.5,2
Markieff Morris,64,82,297.375,8
Marko Jaric,32,75,170,7
Marko Milic,1,33,23.5,2
Marlon Garnett,1,24,15,1
Marlon Maxey,33,55,91,2
Marlon Redmond,16,53,96.25,4
Marques Bragg,8,53,54,1
Marques Johnson,103,80,521.1818182,11
Marquese Chriss,70,82,284,1
Marquis Daniels,26,74,177.2,10
Marquis Teague,7,48,29.75,4
Marreese Speights,56,82,209.3636364,11
Marshall Hawkins,,39,55,1
Marshall Plumlee,4,21,16,1
Marshall Rogers,3,26,43,1
MarShon Brooks,16,73,90.5,6
Martell Webster,40,82,169.6,10
Martin Lewis,3,16,17.5,2
Martin Muursepp,14,42,47.75,4
Martin Nessley,12,44,13.33333333,3
Marty Byrnes,17,80,128.6666667,6
Marty Conlon,18,82,96.54545455,11
Martynas Andriuskevicius,0,6,0,1
Marv Roberts,2,28,27,1
Marv Schatzman,,34,43,1
Marv Winkler,,3,3,1
Marvin Barnes,83,60,152.8333333,6
Marvin Webster,162,82,175,9
Marvin Williams,77,81,273,12
Mason Plumlee,92,82,235.6666667,6
Mateen Cleaves,2,78,38.83333333,6
Matt Barnes,63,81,169.0555556,18
Matt Bonner,31,82,145.75,12
Matt Bullard,24,80,110.4545455,11
Matt Carroll,19,80,78.71428571,14
Matt Fish,7,26,13.28571429,7
Matt Freije,2,23,26.5,2
Matt Geiger,87,78,203.9,10
Matt Guokas,21,82,133.2941176,17
Matt Harpring,17,81,263.6363636,11
Matt Maloney,5,82,130.5,6
Matt Mazza,,26,33,1
Matt Othick,0,4,3,1
Matt Steigenga,1,2,1,1
Matt Walsh,0,2,1,1
Matt Wenstrom,2,11,6,1
Matthew Dellavedova,9,76,162,4
Maurice Ager,3,32,14.16666667,6
Maurice Baker,0,5,0,3
Maurice Carter,0,10,7.333333333,3
Maurice Cheeks,39,82,306.6470588,17
Maurice Evans,17,80,143.6923077,13
Maurice Harkless,70,80,211.2,5
Maurice Lucas,81,80,374.3571429,14
Maurice Martin,6,43,37,2
Maurice Ndour,8,32,39,1
Maurice Stokes*,,72,417,3
Maurice Taylor,48,75,243.0909091,11
Maury King,,37,49.5,2
Max Morris,,62,252,1
Max Zaslofsky,,70,199.8,10
McCoy Ingram,,24,27,1
McCoy McLemore,,86,182.8571429,14
McKinley Singleton,0,2,2,1
Med Park,,74,117.1428571,7
Mehmet Okur,81,82,302.8,10
Mel Bennett,33,67,38,4
Mel Counts,43,82,185.875,16
Mel Daniels*,11,11,13,1
Mel Davis,8,62,99.83333333,6
Mel Gibson,,9,6,1
Mel Hutchins,,72,275.8571429,7
Mel McCants,1,13,8,1
Mel Nowell,,39,92,1
Mel Payton,,66,113.5,2
Mel Peterson,,2,1,1
Melvin Booker,2,21,27,4
Melvin Ely,69,79,73.81818182,11
Melvin Newbern,1,33,42,1
Melvin Sanders,0,16,16,1
Melvin Turpin,106,80,259.4,5
Mengke Bateer,5,27,20.33333333,3
Metta World,50,82,251.6666667,21
Meyers Leonard,38,74,131.6,5
Michael Adams,16,82,296.0909091,11
Michael Anderson,3,36,73,1
Michael Ansley,17,72,78.2,5
Michael Beasley,52,81,289.3333333,9
Michael Bradley,32,67,24,10
Michael Brooks,39,82,278.8333333,6
Michael Cage,79,82,221.1333333,15
Michael Carter-Williams,43,70,253,6
Michael Cooper,78,82,251.1666667,12
Michael Curry,14,82,89.76923077,13
Michael Dickerson,45,82,243.8,5
Michael Doleac,41,81,115.5,12
Michael Finley,39,83,381.6842105,19
Michael Gbinije,0,9,1,1
Michael Hawkins,1,29,12.25,4
Michael Jackson,5,58,25.33333333,3
Michael Jordan*,131,82,812.8,15
Michael Kidd-Gilchrist,77,81,200,5
Michael McDonald,0,1,0,1
Michael Olowokandi,145,82,172.2727273,11
Michael Phelps,2,70,65,3
Michael Redd,13,82,350.5833333,12
Michael Ruffin,41,79,28.66666667,9
Michael Smith,60,82,111.4166667,12
Michael Stewart,195,81,25.1,10
Michael Wiley,16,61,139.5,2
Michael Wilson,5,19,11.14285714,7
Michael Young,3,45,31.33333333,3
Micheal Ray,41,82,376.5,10
Micheal Williams,24,79,127.5,12
Mickael Gelabale,22,70,87.66666667,3
Mickael Pietrus,55,75,147.3333333,12
Mickell Gladness,20,26,16.66666667,3
Mickey Davis,5,75,115.8,5
Mickey Dillard,2,33,29,1
Mickey Johnson,112,82,341.6,15
Mike Bantom,85,82,290.7333333,15
Mike Barr,18,73,122,1
Mike Batiste,16,75,197,1
Mike Bibby,30,82,310.8421053,19
Mike Bratz,17,82,175.3333333,9
Mike Brittain,12,32,13,2
Mike Brown,34,82,102.3636364,11
Mike Champion,0,2,0,1
Mike Conley,24,82,362.8,10
Mike D'Antoni,15,67,46,4
Mike Davis,4,73,168.8,5
Mike Dunleavy,46,82,179.46875,32
Mike Evans,12,81,170,11
Mike Farmer,,80,149.4444444,9
Mike Flynn,10,73,185,2
Mike Gale,50,82,197.75,8
Mike Gibson,7,32,20.5,2
Mike Glenn,9,82,195.8,10
Mike Gminski,118,82,255.3,20
Mike Green,129,76,178.3333333,6
Mike Hall,0,2,1,1
Mike Harper,82,68,120,2
Mike Harris,7,20,13.5,6
Mike Higgins,2,11,3,4
Mike Holton,12,82,109.125,8
Mike Iuzzolino,6,70,190.5,2
Mike James,7,82,152,20
Mike Kearns,,6,0,1
Mike Lynn,,44,23,2
Mike Macaluso,1,30,19,1
Mike McCarron,,8,2,3
Mike McGee,12,80,210,11
Mike Miller,31,82,231,19
Mike Mitchell,77,84,593.6666667,12
Mike Morrison,0,36,23,1
Mike Muscala,41,70,90,4
Mike Newlin,9,82,429.0909091,11
Mike Niles,1,44,48,1
Mike Novak,,60,18.5,4
Mike O'Koren,27,80,181.125,8
Mike O'Neill,,4,4,1
Mike Penberthy,2,53,46.5,2
Mike Peplowski,25,55,17.4,5
Mike Price,,57,53.33333333,3
Mike Ratliff,0,58,49,2
Mike Riordan,14,82,273.2727273,11
Mike Sanders,32,82,160.8,15
Mike Scott,17,80,153,5
Mike Silliman,,36,36,1
Mike Smith,3,17,19,1
Mike Smrek,58,48,24.44444444,9
Mike Sojourner,57,73,240.3333333,3
Mike Sweetney,56,77,141,4
Mike Taylor,0,51,110,1
Mike Tobey,0,2,1,1
Mike Todorovich,,66,186.75,4
Mike Wilks,4,48,22.35714286,14
Mike Williams,7,21,4,3
Mike Woodson,59,83,328.8,15
Mikki Moore,61,82,75.68421053,19
Mile Ilic,0,5,0,1
Miles Plumlee,90,80,87.88888889,9
Miles Simon,0,5,1,1
Milo Komenich,,64,244,1
Milos Babic,1,12,6,2
Milt Palacio,16,80,105,9
Milt Schoon,,62,150,1
Milt Wagner,4,40,43,2
Milt Williams,0,53,28.66666667,3
Mindaugas Kuzminskas,11,68,158,1
Miroslav Raduljica,13,48,35.5,2
Mirsad Turkcan,1,17,9.333333333,3
Mirza Teletovic,23,79,180.4,5
Mitch Kupchak,42,82,222.5555556,9
Mitch McGary,16,32,49.5,2
Mitch Richmond*,34,82,521.7857143,14
Mitchell Butler,20,76,88.375,8
Mitchell Wiggins,13,82,266,6
Mo Howard,8,32,42.66666667,3
Mo Layton,6,80,153,5
Mo Mahoney,,6,2,2
Mo Williams,21,81,275.4705882,17
Moe Barr,,31,25,1
Moe Radovich,,4,5,1
Monk Meineke,,71,158,5
Monta Ellis,37,82,440.9285714,14
Monte Towe,0,51,56,1
Monti Davis,1,2,0.666666667,3
Montrezl Harrell,42,58,141.5,2
Monty Williams,52,82,106.3636364,11
Moochie Norris,5,82,65.13333333,15
Mookie Blaylock,44,81,361.9230769,13
Morlon Wiley,6,58,41.1875,16
Morris Almond,4,25,14.33333333,3
Morris Peterson,32,82,249.7272727,11
Moses Malone*,181,82,467.8095238,21
Mouhamed Sene,12,28,8.2,5
Muggsy Bogues,7,82,186.625,16
Murray Mitchell,,2,1,1
Murray Wier,,56,157,1
Mustafa Shakur,3,22,10.5,2
Mychal Thompson,170,82,396.4285714,14
Mychel Thompson,1,5,7,1
Myles Patrick,0,3,2,1
Myles Turner,173,81,354,2
Myron Brown,0,4,4,1
Myron Jackson,0,8,2,1
Nando De,6,72,58.25,4
Nat Clifton*,,72,260.25,8
Nate Blackwell,0,10,15,1
Nate Bowman,,81,59.6,5
Nate DeLong,,17,20,1
Nate Driggers,2,15,13,1
Nate Hawthorne,21,79,112.6666667,3
Nate Huffman,3,7,9,1
Nate Johnston,8,21,12,3
Nate McMillan,53,82,152.75,12
Nate Robinson,10,82,171.2352941,17
Nate Thurmond*,195,82,353.9375,16
Nate Williams,34,85,338.6666667,12
Nate Wolters,15,58,52.5,4
Nathan Jawai,9,39,25,2
Nazr Mohammed,86,82,129.25,28
Ndudi Ebi,4,17,8.5,2
Neal Walk,57,82,312.6,10
Negele Knight,11,65,98.1,10
Neil Johnson,,80,75,4
Neil Johnston*,,72,412.875,8
Nelson Bobb,,62,90.25,4
Nemanja Bjelica,21,65,130.5,2
Nemanja Nedovic,1,24,8,1
Nenad Krstic,63,80,217.2222222,9
Nene Hilario,101,82,246.4705882,17
Nerlens Noel,142,75,195.2,5
Nick Anderson,56,81,339.6923077,13
Nick Calathes,8,71,123,2
Nick Collison,66,82,169.1538462,13
Nick Fazekas,11,26,30.66666667,3
Nick Johnson,3,28,26,1
Nick Jones,,81,131,3
Nick Mantis,,42,49.5,4
Nick Van,18,81,342.4666667,15
Nick Vanos,23,57,44,2
Nick Weatherspoon,37,82,224.6666667,9
Nick Young,20,82,250.5,12
Nicolas Batum,83,82,299.3333333,9
Nicolas Brussino,8,54,52,1
Nicolas Laprovittola,1,18,20,1
Nik Stauskas,32,80,189.6666667,3
Nikita Wilson,0,15,7,1
Nikola Jokic,56,80,400.5,2
Nikola Mirotic,56,82,253,3
Nikola Pekovic,50,65,219,6
Nikola Vucevic,79,77,432,6
Nikoloz Tskitishvili,29,81,28.125,8
Noah Vonleh,27,78,92.33333333,3
Noble Jorgensen,,70,166.5,6
Noel Felix,3,12,6,1
Nolan Smith,3,44,54.5,2
Norm Cook,3,25,14,2
Norm Grekin,,1,0,1
Norm Mager,,24,40,1
Norm Nixon,17,82,521.9,10
Norm Richardson,0,11,6.666666667,3
Norm Stewart,,5,4,1
Norm Swanson,,63,31,1
Norm Van,26,82,303.9166667,12
Norman Black,0,3,3,1
Norman Powell,14,76,162,2
Normie Glick,,1,1,1
Norris Cole,15,82,154.375,8
Norris Coleman,6,29,66,1
Norton Barnhill,0,4,2,1
O.J. Mayo,26,82,351,8
Obinna Ekezie,12,42,32.83333333,6
Odie Spears,,72,184,7
Odis Allison,,36,17,1
Ognjen Kuzmic,4,21,6.5,2
Okaro White,10,35,33,1
Olden Polynice,84,82,222.0526316,19
Oleksiy Pecherov,14,44,53.33333333,3
Oliver Lafayette,0,1,3,1
Oliver Miller,156,76,150.8181818,11
Oliver Robinson,2,35,35,1
Ollie Johnson,42,82,203.1666667,12
Ollie Mack,7,65,110.4285714,7
Olumide Oyedeji,10,36,16.66666667,3
Omar Cook,1,17,8.5,2
Omer Asik,87,82,134,7
Omri Casspi,21,77,144.4545455,11
Orien Greene,10,80,31.75,4
Orlando Graham,0,7,3,1
Orlando Johnson,9,51,23.14285714,7
Orlando Woolridge,86,82,362.6,15
Oscar Robertson*,4,81,679.1428571,14
Oscar Torres,9,65,75.5,2
Othell Wilson,12,74,108,2
Othella Harrington,58,82,162,14
Othello Hunter,5,16,7.5,2
Othyus Jeffers,0,17,11.42857143,7
Otis Birdsong,22,82,445.5833333,12
Otis Howard,2,14,16,3
Otis Smith,57,80,233.125,8
Otis Thorpe,60,82,359.5714286,21
Otto Moore,136,82,198,13
Otto Porter,41,80,240.5,4
Owen Wells,3,33,42,1
Ozell Jones,57,67,53,2
P.J. Brown,135,82,256.8,15
P.J. Hairston,13,66,94.25,4
P.J. Tucker,23,82,173,8
Pablo Prigioni,2,78,70.83333333,6
Pace Mannion,7,57,32.625,8
Pape Sow,19,42,26.33333333,3
Pape Sy,0,3,2,1
Pascal Siakam,45,55,103,1
Pat Burke,25,62,66.33333333,3
Pat Connaughton,2,39,25,2
Pat Cummings,35,81,227.8333333,12
Pat Dunn,,28,28,1
Pat Durham,32,59,61.5,2
Pat Frink,,48,50,1
Pat Garrity,28,82,147.9,10
Pat Riley*,6,80,157.8181818,11
Patricio Garino,0,5,0,1
Patrick Beverley,26,71,193.6,5
Patrick Christopher,0,4,3,1
Patrick Eddie,0,4,2,1
Patrick Ewing,1,7,0,1
Patrick Ewing*,327,82,570.7058824,17
Patrick McCaw,15,71,106,1
Patrick O'Bryant,19,39,20.66666667,6
Patrick Patterson,44,81,187.2727273,11
Patty Mills,9,81,161.375,8
Pau Gasol,169,82,451.4444444,18
Paul Arizin*,,79,562.8,10
Paul Cloyd,,7,4.666666667,3
Paul Davis,6,31,22,4
Paul Dawkins,9,57,141,1
Paul George,51,81,396.4285714,7
Paul Gordon,,4,0,1
Paul Graham,21,80,194,3
Paul Grant,1,10,3.75,4
Paul Griffin,53,82,119.5714286,7
Paul Hoffman,,72,199.4,5
Paul Hogue,,50,44,4
Paul Long,,30,36,3
Paul McCracken,0,24,21,3
Paul McPherson,4,55,72.66666667,3
Paul Millsap,139,82,407.6363636,11
Paul Mokeski,73,80,81.375,16
Paul Neumann,,80,274,8
Paul Noel,,65,49.66666667,3
Paul Nolen,,1,0,1
Paul Pierce,86,82,456.2105263,19
Paul Pressey,71,81,259.5454545,11
Paul Ruffner,3,22,16,3
Paul Seymour,,72,182.9090909,11
Paul Shirley,1,9,5,3
Paul Silas,33,82,268.3125,16
Paul Stovall,,25,26,1
Paul Thompson,37,82,151.4,5
Paul Walther,,68,135.25,8
Paul Westphal,38,82,423.25,12
Paul Zipser,16,44,88,1
Pavel Podkolzin,1,5,0,2
Pearl Washington,7,72,222,3
Peja Stojakovic,14,81,298.3333333,18
Pep Saul,,71,130.1666667,6
Pepe Sanchez,1,29,4.5,4
Pero Antic,14,63,115.5,2
Perry Jones,19,62,65,3
Perry Moss,15,72,80.75,4
Perry Warbington,0,5,4,1
Perry Young,1,9,4,3
Pervis Ellison,177,76,166,11
Pete Brennan,,16,13,1
Pete Chilcutt,43,82,92.85714286,14
Pete Cross,,79,81.8,5
Pete Darcey,,12,3,1
Pete Maravich*,23,81,535.9166667,12
Pete Myers,20,82,58.06666667,15
Pete Verhoeven,22,71,72,6
Pete Williams,23,53,34,2
Peter Aluma,1,2,1,1
Peter John,1,6,5,1
Peter Thibeaux,17,51,97,2
Petur Gudmundsson,61,69,62.75,4
Peyton Siva,1,24,18,1
Phil Bond,0,7,2,1
Phil Chenier,67,81,354.6666667,12
Phil Ford,8,82,260.1111111,9
Phil Hankinson,1,28,28,2
Phil Hicks,0,37,25,4
Phil Hubbard,20,83,249.8333333,12
Phil Jackson*,67,82,173,12
Phil Jordon,,79,228.9090909,11
Phil Lumpkin,3,48,54,2
Phil Martin,,7,5,1
Phil Pressey,6,75,40.4,5
Phil Rollins,,72,67.75,8
Phil Sellers,0,44,73,1
Phil Smith,29,82,395.1818182,11
Phil Walker,5,40,57,1
Phil Zevenbergen,1,8,15,1
Pickles Kennedy,,7,4,1
Pierre Jackson,0,8,13,1
Plummer Lott,,44,31.5,2
Pooh Richardson,25,82,304.6,10
Popeye Jones,39,81,143.0909091,11
Pops Mensah-Bonsu,9,22,14.5,8
Porter Meriwether,,31,48,1
Predrag Drobnjak,38,82,225.75,4
Predrag Savovic,1,27,29,1
Price Brookfield,,7,11,1
Priest Lauderdale,17,39,51,2
Primoz Brezec,55,79,81.92307692,13
Purvis Short,27,82,494.5,12
Quentin Richardson,27,81,224.8461538,13
Quincy Acy,26,68,65,9
Quincy Douby,12,74,52.8,5
Quincy Lewis,15,74,58,4
Quincy Miller,32,52,23.2,5
Quincy Pondexter,24,75,102.2857143,7
Quinn Buckner,21,82,254.6,10
Quinn Cook,0,14,22,3
Quintin Dailey,11,82,293.6,10
Quinton Ross,33,81,89.33333333,9
Qyntel Woods,14,62,70.25,4
R.J. Hunter,4,36,18,2
Radisav Curcic,2,20,16,1
Raef LaFrentz,213,82,220.6666667,12
Rafael Addison,28,79,153.3333333,6
Rafael Araujo,8,59,52,3
Rafer Alston,18,82,194.7333333,15
Raja Bell,27,82,181.75,16
Rajon Rondo,13,81,265.7692308,13
Rakeem Christmas,6,29,10.5,2
Ralph Beard,,66,374.5,2
Ralph Davis,,77,272.5,2
Ralph Drollinger,2,6,7,1
Ralph Jackson,0,1,1,1
Ralph Johnson,,68,155.8333333,6
Ralph Lewis,4,50,18.6,5
Ralph O'Brien,,64,84,5
Ralph Ogden,,32,17,1
Ralph Polson,,49,43.33333333,3
Ralph Sampson*,197,82,293,11
Ralph Simpson,7,77,144.25,8
Ralph Wells,,3,1,1
Ramon Rivas,1,28,12,1
Ramon Sessions,9,83,191.3125,16
Randell Jackson,11,27,23,2
Randolph Childress,1,28,13.25,4
Randolph Keys,15,80,116.4285714,7
Randolph Morris,3,28,13,4
Randy Allen,19,63,57,2
Randy Breuer,116,82,168.9230769,13
Randy Brown,34,75,106.25,12
Randy Denton,16,45,103,1
Randy Foye,39,82,221,13
Randy Holcomb,0,4,1,1
Randy Livingston,13,79,27.63636364,11
Randy Smith,14,82,496.3571429,14
Randy White,45,79,156.6,5
Randy Wittman,18,82,177.5454545,11
Randy Woods,2,62,28.75,4
Rashad McCants,22,79,185.8333333,6
Rashad Vaughn,16,70,69,2
Rashard Lewis,62,82,327.5555556,18
Rasheed Wallace,135,81,355,19
Rasho Nesterovic,165,82,214.1666667,12
Rastko Cvetkovic,1,14,5,1
Rasual Butler,68,82,158.1333333,15
Ratko Varda,0,1,2,1
Raul Lopez,3,82,140,2
Raul Neto,5,81,110.5,2
Rawle Marshall,7,40,28,2
Ray Allen,25,82,458.25,20
Ray Blume,2,49,102,1
Ray Corley,,60,42.4,5
Ray Ellefson,,3,0,1
Ray Epps,0,13,10,1
Ray Felix,,80,231.0909091,11
Ray Lumpp,,64,134,6
Ray McCallum,11,68,85.8,5
Ray Owes,20,57,75,1
Ray Radziszewski,,1,0,1
Ray Ragelis,,51,25,1
Ray Scott,,82,396.7272727,11
Ray Tolbert,47,73,62.54545455,11
Ray Williams,43,82,313.7692308,13
Raymond Brown,0,16,8,1
Raymond Felton,30,82,303.7857143,14
Raymond Townsend,6,75,103,3
Red Davis,,3,0,1
Red Holzman*,,68,121,5
Red Kerr,,80,409.0833333,12
Red Morrison,,71,72.66666667,3
Red Owens,,61,56.33333333,6
Red Rocha,,72,260.1428571,7
Reece Gaines,2,38,13,5
Reggie Bullock,4,43,31.33333333,6
Reggie Carter,6,75,89,2
Reggie Evans,16,81,77,17
