Row Labels,Max of BLK,Max of G,Average of FG,Count of Year
Billy Hassett,,60,53.25,4
Billy Kenville,,72,141.3333333,6
Billy Knight,19,82,358.5384615,13
Billy McKinney,16,84,209,9
Billy Owens,65,80,239,14
Billy Paultz,194,84,208.6923077,13
Billy Ray,6,77,158,6
Billy Reid,5,59,84,1
Billy Thomas,1,25,11,5
Billy Thompson,105,79,179,6
Bimbo Coles,17,82,162.3888889,18
Bingo Smith,36,82,397,13
Bird Averitt,9,75,157.5,4
Bismack Biyombo,143,82,134.8333333,6
Bison Dele,87,80,230.875,8
Blackie Towery,,68,222,1
Blaine Denning,,1,2,1
Blair Rasmussen,132,81,281,8
Blake Ahearn,0,12,7,3
Blake Griffin,51,82,558,7
Blue Edwards,46,82,266.8333333,12
Bo Ellis,47,78,78.66666667,3
Bo Erias,,18,59,1
Bo Kimble,8,62,72.33333333,3
Bo Lamar,3,71,228,1
Bo Outlaw,181,83,127.7058824,17
Bob Allen,,27,14,1
Bob Anderegg,,33,55,1
Bob Armstrong,,19,11,1
Bob Arnzen,,55,128,1
Bob Bigelow,2,31,15.83333333,6
Bob Boozer,,82,417.6153846,13
Bob Brannum,,71,177.4,5
Bob Brown,,62,276,1
Bob Burrow,,67,79.5,2
Bob Carney,,19,24,1
Bob Carpenter,,66,107.5,4
Bob Carrington,23,72,130.25,4
Bob Christian,32,81,86.5,4
Bob Cousy*,,76,440.5714286,14
Bob Dandridge,57,81,495.7692308,13
Bob Davies*,,72,329.1666667,6
Bob Davis,,9,6,1
Bob Doll,,47,120,1
Bob Donham,,71,165.5,4
Bob Duffy,,48,43,6
Bob Elliott,16,73,118.6666667,3
Bob Evans,,47,56,1
Bob Feerick,,60,172,1
Bob Ferry,,80,222.5,10
Bob Greacen,,41,22.5,2
Bob Gross,67,82,232.125,8
Bob Hansen,11,82,156.4545455,11
Bob Harris,,71,128.8571429,7
Bob Harrison,,72,175.0909091,11
Bob Hogsett,,7,5,1
